Dev1/ai1_Time/s,Dev1/ai1
0,0.007545653
0.009999938,0.007545653
0.019999875,0.001111032
0.029999813,0.007545653
0.03999975,0.004328342
0.049999688,0.007545653
0.059999625,0.007545653
0.069999563,0.004328342
0.0799995,0.004328342
0.089999438,0.001111032
0.099999375,0.007545653
0.109999313,0.004328342
0.11999925,0.004328342
0.129999188,0.010762963
0.139999125,0.007545653
0.149999063,0.007545653
0.159999,0.004328342
0.169998938,0.004328342
0.179998875,0.004328342
0.189998813,0.007545653
0.19999875,0.007545653
0.209998688,0.013980274
0.219998625,0.001111032
0.229998563,0.007545653
0.2399985,0.010762963
0.249998438,0.001111032
0.259998375,0.004328342
0.269998313,-0.002106279
0.27999825,0.007545653
0.289998188,0.007545653
0.299998125,0.001111032
0.309998063,0.007545653
0.319998,0.004328342
0.329997938,0.004328342
0.339997875,0.007545653
0.349997813,0.007545653
0.35999775,0.007545653
0.369997688,0.007545653
0.379997625,0.007545653
0.389997563,0.004328342
0.3999975,0.007545653
0.409997438,0.010762963
0.419997375,0.007545653
0.429997313,0.007545653
0.43999725,0.001111032
0.449997188,0.004328342
0.459997125,0.007545653
0.469997063,0.007545653
0.479997,0.004328342
0.489996938,0.007545653
0.499996875,0.007545653
0.509996813,0.007545653
0.51999675,0.004328342
0.529996688,-0.002106279
0.539996625,0.004328342
0.549996563,0.001111032
0.5599965,0.007545653
0.569996438,0.004328342
0.579996375,0.001111032
0.589996313,0.004328342
0.59999625,0.004328342
0.609996188,0.004328342
0.619996125,0.004328342
0.629996062,0.007545653
0.639996,0.004328342
0.649995937,0.004328342
0.659995875,0.007545653
0.669995812,0.007545653
0.67999575,0.007545653
0.689995687,0.007545653
0.699995625,0.001111032
0.709995562,0.007545653
0.7199955,0.007545653
0.729995437,0.010762963
0.739995375,0.004328342
0.749995312,0.007545653
0.75999525,0.013980274
0.769995187,0.007545653
0.779995125,0.004328342
0.789995062,0.010762963
0.799995,0.001111032
0.809994937,0.007545653
0.819994875,0.004328342
0.829994812,-0.002106279
0.83999475,0.010762963
0.849994687,0.004328342
0.859994625,0.010762963
0.869994562,0.001111032
0.8799945,0.001111032
0.889994437,0.004328342
0.899994375,0.007545653
0.909994312,0.001111032
0.91999425,0.001111032
0.929994187,0.007545653
0.939994125,0.004328342
0.949994062,0.004328342
0.959994,0.007545653
0.969993937,0.001111032
0.979993875,0.001111032
0.989993812,0.007545653
0.99999375,0.004328342
1.009993688,0.004328342
1.019993625,0.007545653
1.029993563,0.001111032
1.0399935,0.004328342
1.049993438,0.007545653
1.059993375,0.004328342
1.069993313,0.001111032
