"LineNo","DateTime","Hour","Channel","ThresholdA","CutoffA","CbMs","ArrivalDelayMs","Dev","N","FsHz","ImaxA"
"1005","2025/12/28 4:03:03","2025-12-28 04:00","1","10","8.318","31.78","-0.06","1","20","1000","10.01"
"1018","2025/12/28 4:04:03","2025-12-28 04:00","5","10","8.447","32.03","0.05","1","20","1000","10.038"
"1030","2025/12/28 4:05:03","2025-12-28 04:00","5","10","8.647","31.97","0.77","1","20","1000","10.575"
"1042","2025/12/28 4:06:03","2025-12-28 04:00","5","10","8.498","31.89","0.75","1","20","1000","10.402"
"1048","2025/12/28 4:06:33","2025-12-28 04:00","5","10","8.639","31.94","0.72","1","20","1000","10.035"
"1061","2025/12/28 4:07:34","2025-12-28 04:00","3","10","8.629","31.89","0.16","1","20","1000","10.863"
"1071","2025/12/28 4:08:33","2025-12-28 04:00","1","10","8.306","31.93","0.24","1","20","1000","10.651"
"1078","2025/12/28 4:09:03","2025-12-28 04:00","5","10","8.604","31.9","0.81","1","20","1000","11.225"
"1079","2025/12/28 4:09:04","2025-12-28 04:00","3","10","8.182","31.88","0.17","1","20","1000","10.242"
"1102","2025/12/28 4:11:03","2025-12-28 04:00","5","10","8.637","31.9","0.29","1","20","1000","10.476"
"1103","2025/12/28 4:11:03","2025-12-28 04:00","3","10","8.111","31.92","0.69","1","20","1000","10.528"
"1119","2025/12/28 4:12:33","2025-12-28 04:00","1","10","8.2","31.94","0.85","1","20","1000","9.914"
"1120","2025/12/28 4:12:33","2025-12-28 04:00","5","10","8.697","31.87","0","1","20","1000","9.726"
"1125","2025/12/28 4:13:03","2025-12-28 04:00","1","10","8.253","31.92","0.87","1","20","1000","9.583"
"1131","2025/12/28 4:13:33","2025-12-28 04:00","1","10","8.176","31.9","0.49","1","20","1000","9.959"
"1137","2025/12/28 4:14:03","2025-12-28 04:00","1","10","8.17","31.95","0.29","1","20","1000","9.975"
"1186","2025/12/28 4:18:03","2025-12-28 04:00","5","10","8.569","31.96","0.67","1","20","1000","10.228"
"1187","2025/12/28 4:18:04","2025-12-28 04:00","3","10","8.47","31.88","0.03","1","20","1000","10.181"
"1223","2025/12/28 4:21:04","2025-12-28 04:00","3","10","8.115","31.91","0.75","1","20","1000","10.017"
"1227","2025/12/28 4:21:33","2025-12-28 04:00","1","10","8.173","31.93","0.67","1","20","1000","9.676"
"1240","2025/12/28 4:22:33","2025-12-28 04:00","5","10","8.522","31.9","0.46","1","20","1000","10.26"
"1252","2025/12/28 4:23:33","2025-12-28 04:00","5","10","8.724","31.92","0.07","1","20","1000","10.62"
"1265","2025/12/28 4:24:33","2025-12-28 04:00","3","10","8.379","31.9","0.14","1","20","1000","9.943"
"1270","2025/12/28 4:25:03","2025-12-28 04:00","5","10","8.709","31.95","0.57","1","20","1000","10.228"
"1271","2025/12/28 4:25:03","2025-12-28 04:00","3","10","8.246","32","-0.02","1","20","1000","10.245"
