"LineNo","DateTime","Hour","Channel","ThresholdA","CutoffA","CbMs","ArrivalDelayMs","Dev","N","FsHz","ImaxA"
"3455","2025/12/28 7:27:04","2025-12-28 07:00","3","10","8.12","31.91","0.39","1","20","1000","9.647"
"3466","2025/12/28 7:28:03","2025-12-28 07:00","5","10","8.696","31.9","0.88","1","20","1000","10.514"
"3472","2025/12/28 7:28:33","2025-12-28 07:00","5","10","8.428","31.9","0.51","1","20","1000","9.726"
"3477","2025/12/28 7:29:03","2025-12-28 07:00","1","10","8.428","31.39","0.11","1","20","1000","10.158"
"3489","2025/12/28 7:30:03","2025-12-28 07:00","1","10","8.359","31.91","0.87","1","20","1000","10.471"
"3508","2025/12/28 7:31:33","2025-12-28 07:00","5","10","8.477","31.91","0.53","1","20","1000","10.797"
"3533","2025/12/28 7:33:34","2025-12-28 07:00","3","10","8.322","31.97","0.19","1","20","1000","10.197"
"3537","2025/12/28 7:34:03","2025-12-28 07:00","1","10","8.224","31.96","0.45","1","20","1000","9.908"
"3543","2025/12/28 7:34:33","2025-12-28 07:00","1","10","8.357","33.38","-0.03","1","20","1000","10.561"
"3549","2025/12/28 7:35:03","2025-12-28 07:00","1","10","8.596","31.9","0.5","1","20","1000","10.77"
"3561","2025/12/28 7:36:03","2025-12-28 07:00","1","10","8.135","31.95","0.86","1","20","1000","9.444"
"3563","2025/12/28 7:36:04","2025-12-28 07:00","3","10","8.094","31.84","0.58","1","20","1000","10.461"
"3567","2025/12/28 7:36:33","2025-12-28 07:00","1","10","8.361","31.85","0.62","1","20","1000","10.876"
"3593","2025/12/28 7:38:34","2025-12-28 07:00","3","10","8.182","31.93","0.04","1","20","1000","10.216"
"3609","2025/12/28 7:40:03","2025-12-28 07:00","1","10","8.347","31.94","0.89","1","20","1000","9.904"
"3617","2025/12/28 7:40:34","2025-12-28 07:00","3","10","8.745","31.92","0.24","1","20","1000","10.589"
"3629","2025/12/28 7:41:34","2025-12-28 07:00","3","10","8.405","31.94","0.94","1","20","1000","10.351"
"3647","2025/12/28 7:43:04","2025-12-28 07:00","3","10","8.275","31.87","0.17","1","20","1000","9.644"
"3653","2025/12/28 7:43:34","2025-12-28 07:00","3","10","8.263","31.9","0.61","1","20","1000","10.117"
"3676","2025/12/28 7:45:33","2025-12-28 07:00","5","10","8.803","31.9","0.03","1","20","1000","10.476"
"3681","2025/12/28 7:46:03","2025-12-28 07:00","1","10","8.257","31.93","0.01","1","20","1000","9.814"
"3706","2025/12/28 7:48:03","2025-12-28 07:00","5","10","8.592","32.05","0.25","1","20","1000","10.163"
"3729","2025/12/28 7:50:03","2025-12-28 07:00","1","10","8.588","31.94","0.74","1","20","1000","11.05"
"3743","2025/12/28 7:51:04","2025-12-28 07:00","3","10","8.567","31.9","-0.04","1","20","1000","9.898"
"3749","2025/12/28 7:51:34","2025-12-28 07:00","3","10","8.241","31.94","0.8","1","20","1000","9.682"
"3773","2025/12/28 7:53:34","2025-12-28 07:00","3","10","8.215","32.3","0.49","1","20","1000","9.621"
"3784","2025/12/28 7:54:33","2025-12-28 07:00","5","10","8.626","31.53","0","1","20","1000","10.443"
"3807","2025/12/28 7:56:33","2025-12-28 07:00","1","10","8.311","31.95","0.16","1","20","1000","10.483"
"3833","2025/12/28 7:58:34","2025-12-28 07:00","3","10","8.094","31.17","0.67","1","20","1000","10.281"
"3843","2025/12/28 7:59:33","2025-12-28 07:00","1","10","8.636","31.94","0.88","1","20","1000","10.355"
"3849","2025/12/28 8:00:03","2025-12-28 08:00","1","10","8.458","31.89","0.02","1","20","1000","10.738"
"3861","2025/12/28 8:01:03","2025-12-28 08:00","1","10","8.199","31.94","0.14","1","20","1000","10.808"
"3862","2025/12/28 8:01:03","2025-12-28 08:00","5","10","8.535","31.61","0.12","1","20","1000","10.299"
"3863","2025/12/28 8:01:04","2025-12-28 08:00","3","10","8.365","31.94","0.1","1","20","1000","10.705"
"3867","2025/12/28 8:01:33","2025-12-28 08:00","1","10","8.591","31.21","0.63","1","20","1000","10.734"
"3874","2025/12/28 8:02:03","2025-12-28 08:00","5","10","8.603","31.96","0.47","1","20","1000","10.714"
"3875","2025/12/28 8:02:04","2025-12-28 08:00","3","10","8.162","31.89","0.66","1","20","1000","9.969"
"3879","2025/12/28 8:02:33","2025-12-28 08:00","1","10","8.195","31","0.56","1","20","1000","9.788"
"3887","2025/12/28 8:03:04","2025-12-28 08:00","3","10","8.093","31.88","0.38","1","20","1000","9.499"
"3892","2025/12/28 8:03:33","2025-12-28 08:00","5","10","8.745","31.94","0.75","1","20","1000","9.98"
"3899","2025/12/28 8:04:04","2025-12-28 08:00","3","10","8.247","31.89","0.13","1","20","1000","9.949"
"3915","2025/12/28 8:05:33","2025-12-28 08:00","1","10","8.179","31.92","0.58","1","20","1000","9.933"
"3921","2025/12/28 8:06:03","2025-12-28 08:00","1","10","8.251","31.96","-0.06","1","20","1000","9.814"
"3935","2025/12/28 8:07:04","2025-12-28 08:00","3","10","8.104","31.93","0.81","1","20","1000","9.615"
"3957","2025/12/28 8:09:03","2025-12-28 08:00","1","10","8.335","31.97","0.8","1","20","1000","10.982"
"3976","2025/12/28 8:10:33","2025-12-28 08:00","5","10","8.468","31.93","0.75","1","20","1000","11.035"
"3988","2025/12/28 8:11:33","2025-12-28 08:00","5","10","8.564","31.89","0.54","1","20","1000","10.45"
"3993","2025/12/28 8:12:03","2025-12-28 08:00","1","10","8.186","31.93","0.56","1","20","1000","9.65"
"4013","2025/12/28 8:13:34","2025-12-28 08:00","3","10","8.082","31.91","0.86","1","20","1000","9.769"
"4017","2025/12/28 8:14:03","2025-12-28 08:00","1","10","8.424","31.93","0.82","1","20","1000","10.3"
"4018","2025/12/28 8:14:03","2025-12-28 08:00","5","10","8.545","31.91","0.8","1","20","1000","9.591"
"4025","2025/12/28 8:14:34","2025-12-28 08:00","3","10","8.515","31.9","0.84","1","20","1000","10.393"
"4029","2025/12/28 8:15:03","2025-12-28 08:00","1","10","8.187","31.92","0.23","1","20","1000","10.586"
"4060","2025/12/28 8:17:33","2025-12-28 08:00","5","10","8.651","31.95","0.22","1","20","1000","10.965"
"4073","2025/12/28 8:18:34","2025-12-28 08:00","3","10","8.275","31.93","0.26","1","20","1000","10.03"
"4114","2025/12/28 8:22:03","2025-12-28 08:00","5","10","8.446","31.89","0.37","1","20","1000","10.704"
"4120","2025/12/28 8:22:33","2025-12-28 08:00","5","10","8.429","31.91","0.28","1","20","1000","10.389"
"4125","2025/12/28 8:23:03","2025-12-28 08:00","1","10","8.376","31.9","0.48","1","20","1000","10.165"
"4126","2025/12/28 8:23:03","2025-12-28 08:00","5","10","8.513","31.94","0.46","1","20","1000","11.164"
"4131","2025/12/28 8:23:33","2025-12-28 08:00","1","10","8.383","31.96","0.74","1","20","1000","10.265"
"4133","2025/12/28 8:23:34","2025-12-28 08:00","3","10","8.287","31.92","0.92","1","20","1000","9.521"
"4150","2025/12/28 8:25:03","2025-12-28 08:00","5","10","8.591","31.91","0.33","1","20","1000","10.032"
"4174","2025/12/28 8:27:03","2025-12-28 08:00","5","10","8.592","31.9","0.32","1","20","1000","9.645"
"4186","2025/12/28 8:28:03","2025-12-28 08:00","5","10","8.544","31.9","0.15","1","20","1000","10.231"
"4191","2025/12/28 8:28:33","2025-12-28 08:00","1","10","8.159","32.05","0.36","1","20","1000","10.715"
"4217","2025/12/28 8:30:34","2025-12-28 08:00","3","10","8.229","31.95","0.35","1","20","1000","10.702"
"4222","2025/12/28 8:31:03","2025-12-28 08:00","5","10","8.574","31.92","0.15","1","20","1000","9.89"
"4240","2025/12/28 8:32:33","2025-12-28 08:00","5","10","8.483","31.87","0.33","1","20","1000","10.649"
"4241","2025/12/28 8:32:34","2025-12-28 08:00","3","10","8.239","31.94","0.32","1","20","1000","10.503"
"4246","2025/12/28 8:33:03","2025-12-28 08:00","5","10","8.629","31.62","0.07","1","20","1000","9.906"
"4253","2025/12/28 8:33:34","2025-12-28 08:00","3","10","8.176","31.83","0.58","1","20","1000","10.184"
"4258","2025/12/28 8:34:03","2025-12-28 08:00","5","10","8.474","31.93","0.82","1","20","1000","9.987"
"4259","2025/12/28 8:34:04","2025-12-28 08:00","3","10","8.251","31.9","0.76","1","20","1000","10.48"
"4264","2025/12/28 8:34:33","2025-12-28 08:00","5","10","8.451","31.94","0.66","1","20","1000","10.569"
"4289","2025/12/28 8:36:34","2025-12-28 08:00","3","10","8.203","31.94","0.17","1","20","1000","9.611"
"4325","2025/12/28 8:39:34","2025-12-28 08:00","3","10","8.323","31.85","0.11","1","20","1000","10.493"
"4355","2025/12/28 8:42:04","2025-12-28 08:00","3","10","8.282","31.88","0.77","1","20","1000","9.804"
"4360","2025/12/28 8:42:33","2025-12-28 08:00","5","10","8.435","31.94","0.72","1","20","1000","9.491"
"4391","2025/12/28 8:45:04","2025-12-28 08:00","3","10","8.368","31.91","0.28","1","20","1000","10.445"
"4403","2025/12/28 8:46:04","2025-12-28 08:00","3","10","8.275","31.91","0.12","1","20","1000","9.705"
"4414","2025/12/28 8:47:03","2025-12-28 08:00","5","10","8.541","31.88","0.23","1","20","1000","9.983"
"4420","2025/12/28 8:47:33","2025-12-28 08:00","5","10","8.613","32.05","0.01","1","20","1000","10.276"
"4443","2025/12/28 8:49:33","2025-12-28 08:00","1","10","8.588","31.93","0.41","1","20","1000","10.869"
"4457","2025/12/28 8:50:34","2025-12-28 08:00","3","10","8.349","31.9","0.5","1","20","1000","10.882"
"4462","2025/12/28 8:51:03","2025-12-28 08:00","5","10","8.475","31.94","0.67","1","20","1000","9.887"
"4473","2025/12/28 8:52:03","2025-12-28 08:00","1","10","8.132","31.9","0.14","1","20","1000","9.531"
"4486","2025/12/28 8:53:03","2025-12-28 08:00","5","10","8.61","31.98","0.36","1","20","1000","10.08"
"4499","2025/12/28 8:54:04","2025-12-28 08:00","3","10","8.11","31.96","-0.01","1","20","1000","10.065"
"4517","2025/12/28 8:55:34","2025-12-28 08:00","3","10","8.249","31.89","0.43","1","20","1000","9.763"
"4535","2025/12/28 8:57:04","2025-12-28 08:00","3","10","8.329","31.91","0.56","1","20","1000","10.647"
"4553","2025/12/28 8:58:34","2025-12-28 08:00","3","10","8.287","31.96","0.26","1","20","1000","10.461"
"4558","2025/12/28 8:59:03","2025-12-28 08:00","5","10","8.787","31.92","0","1","20","1000","10.932"
"4570","2025/12/28 9:00:03","2025-12-28 09:00","5","10","8.657","31.89","0.61","1","20","1000","10.476"
"4588","2025/12/28 9:01:33","2025-12-28 09:00","5","10","8.659","31.95","-0.02","1","20","1000","10.727"
"4600","2025/12/28 9:02:33","2025-12-28 09:00","5","10","8.502","31.9","0.5","1","20","1000","9.967"
"4689","2025/12/28 9:10:03","2025-12-28 09:00","1","10","8.163","31.94","0.12","1","20","1000","10.631"
"4695","2025/12/28 9:10:33","2025-12-28 09:00","1","10","8.42","31.96","0.8","1","20","1000","11.281"
"4702","2025/12/28 9:11:03","2025-12-28 09:00","5","10","8.659","31.88","0.53","1","20","1000","10.308"
"4707","2025/12/28 9:11:33","2025-12-28 09:00","1","10","8.327","31.91","0.06","1","20","1000","10.664"
"4709","2025/12/28 9:11:34","2025-12-28 09:00","3","10","8.178","31.91","0.24","1","20","1000","10.026"
"4714","2025/12/28 9:12:03","2025-12-28 09:00","5","10","8.618","31.91","0.57","1","20","1000","10.311"
"4727","2025/12/28 9:13:04","2025-12-28 09:00","3","10","8.437","31.88","0.7","1","20","1000","10.174"
"4731","2025/12/28 9:13:33","2025-12-28 09:00","1","10","8.246","31.93","0.89","1","20","1000","10.339"
"4737","2025/12/28 9:14:03","2025-12-28 09:00","1","10","8.26","31.94","-0.06","1","20","1000","10.943"
"4739","2025/12/28 9:14:04","2025-12-28 09:00","3","10","8.166","31.93","0.07","1","20","1000","9.534"
"4757","2025/12/28 9:15:34","2025-12-28 09:00","3","10","8.178","31.9","0.37","1","20","1000","9.991"
"4779","2025/12/28 9:17:33","2025-12-28 09:00","1","10","8.258","31.97","-0.01","1","20","1000","10.892"
"4787","2025/12/28 9:18:04","2025-12-28 09:00","3","10","8.129","31.88","0.75","1","20","1000","9.972"
"4791","2025/12/28 9:18:33","2025-12-28 09:00","1","10","8.447","31.92","0.03","1","20","1000","11.191"
"4793","2025/12/28 9:18:34","2025-12-28 09:00","3","10","8.342","31.93","0.17","1","20","1000","10.252"
"4821","2025/12/28 9:21:03","2025-12-28 09:00","1","10","8.215","31.94","0.46","1","20","1000","10.483"
"4822","2025/12/28 9:21:03","2025-12-28 09:00","5","10","8.469","31.9","0.45","1","20","1000","10.35"
"4827","2025/12/28 9:21:33","2025-12-28 09:00","1","10","8.37","31.93","0.46","1","20","1000","10.5"
"4863","2025/12/28 9:24:33","2025-12-28 09:00","1","10","8.304","31.85","0.23","1","20","1000","10.66"
"4881","2025/12/28 9:26:03","2025-12-28 09:00","1","10","8.373","31.93","0.04","1","20","1000","10.039"
"4882","2025/12/28 9:26:03","2025-12-28 09:00","5","10","8.595","31.96","0.02","1","20","1000","9.858"
"4889","2025/12/28 9:26:34","2025-12-28 09:00","3","10","8.44","31.92","0.46","1","20","1000","10.055"
"4899","2025/12/28 9:27:33","2025-12-28 09:00","1","10","8.375","31.88","0.42","1","20","1000","10.538"
"4907","2025/12/28 9:28:04","2025-12-28 09:00","3","10","8.193","31.65","0.71","1","20","1000","9.257"
"4917","2025/12/28 9:29:03","2025-12-28 09:00","1","10","8.12","31.96","0.92","1","20","1000","10.721"
"4918","2025/12/28 9:29:03","2025-12-28 09:00","5","10","8.721","31.93","0.9","1","20","1000","10.244"
"4971","2025/12/28 9:33:33","2025-12-28 09:00","1","10","8.242","32.13","0.37","1","20","1000","10.29"
"4973","2025/12/28 9:33:34","2025-12-28 09:00","3","10","8.115","31.83","0.5","1","20","1000","9.479"
"4979","2025/12/28 9:34:04","2025-12-28 09:00","3","10","8.267","32.06","0.25","1","20","1000","9.682"
"4996","2025/12/28 9:35:33","2025-12-28 09:00","5","10","8.522","32.01","0.74","1","20","1000","9.414"
"5008","2025/12/28 9:36:33","2025-12-28 09:00","5","10","8.703","31.95","0.14","1","20","1000","10.125"
"5019","2025/12/28 9:37:33","2025-12-28 09:00","1","10","8.12","31.85","0.4","1","20","1000","10.528"
"5020","2025/12/28 9:37:33","2025-12-28 09:00","5","10","8.591","31.91","0.38","1","20","1000","10.865"
"5074","2025/12/28 9:42:03","2025-12-28 09:00","5","10","8.478","31.9","0.08","1","20","1000","9.874"
"5081","2025/12/28 9:42:34","2025-12-28 09:00","3","10","8.286","31.9","0.43","1","20","1000","9.981"
"5103","2025/12/28 9:44:33","2025-12-28 09:00","1","10","8.459","31.89","0.79","1","20","1000","11.021"
"5104","2025/12/28 9:44:33","2025-12-28 09:00","5","10","8.791","31.91","-0.02","1","20","1000","10.07"
"5134","2025/12/28 9:47:03","2025-12-28 09:00","5","10","8.656","31.9","0.16","1","20","1000","10.106"
"5135","2025/12/28 9:47:04","2025-12-28 09:00","3","10","8.249","31.95","0.35","1","20","1000","9.579"
"5170","2025/12/28 9:50:03","2025-12-28 09:00","5","10","8.632","31.94","0.42","1","20","1000","10.27"
"5176","2025/12/28 9:50:33","2025-12-28 09:00","5","10","8.646","31.98","0.36","1","20","1000","10.044"
"5205","2025/12/28 9:53:03","2025-12-28 09:00","1","10","8.281","31.02","0.82","1","20","1000","10.155"
"5218","2025/12/28 9:54:03","2025-12-28 09:00","5","10","8.664","31.91","0.5","1","20","1000","10.517"
"5224","2025/12/28 9:54:33","2025-12-28 09:00","5","10","8.515","31","0.6","1","20","1000","9.793"
"5241","2025/12/28 9:56:03","2025-12-28 09:00","1","10","8.359","31.9","0.06","1","20","1000","11.281"
"5243","2025/12/28 9:56:04","2025-12-28 09:00","3","10","8.163","31.84","0.24","1","20","1000","9.875"
"5266","2025/12/28 9:58:03","2025-12-28 09:00","5","10","8.637","31.91","0.87","1","20","1000","9.909"
"5284","2025/12/28 9:59:33","2025-12-28 09:00","5","10","8.716","31.84","0.13","1","20","1000","10.418"
"5285","2025/12/28 9:59:34","2025-12-28 09:00","3","10","8.282","31.93","0.07","1","20","1000","10.129"
"5297","2025/12/28 10:00:34","2025-12-28 10:00","3","10","8.177","31.92","0.44","1","20","1000","9.245"
"5301","2025/12/28 10:01:03","2025-12-28 10:00","1","10","8.144","31.93","-0.06","1","20","1000","10.635"
"5309","2025/12/28 10:01:34","2025-12-28 10:00","3","10","8.451","31.91","0.42","1","20","1000","10.937"
"5381","2025/12/28 10:07:34","2025-12-28 10:00","3","10","8.241","31.9","0","1","20","1000","9.724"
"5385","2025/12/28 10:08:03","2025-12-28 10:00","5","10","8.463","31.91","0.67","1","20","1000","10.032"
"5399","2025/12/28 10:09:04","2025-12-28 10:00","3","10","8.236","32.01","0","1","20","1000","10.998"
"5403","2025/12/28 10:09:33","2025-12-28 10:00","1","10","8.673","31.92","0.65","1","20","1000","10.361"
"5411","2025/12/28 10:10:04","2025-12-28 10:00","3","10","8.1","31.86","0.33","1","20","1000","10.142"
"5428","2025/12/28 10:11:33","2025-12-28 10:00","5","10","8.682","31.91","0.23","1","20","1000","9.864"
"5435","2025/12/28 10:12:04","2025-12-28 10:00","3","10","8.155","31.9","0.77","1","20","1000","9.261"
"5440","2025/12/28 10:12:33","2025-12-28 10:00","5","10","8.714","31.89","0.32","1","20","1000","10.997"
"5495","2025/12/28 10:17:04","2025-12-28 10:00","3","10","8.546","31.89","0.25","1","20","1000","10.348"
"5507","2025/12/28 10:18:04","2025-12-28 10:00","3","10","8.24","32.02","0.68","1","20","1000","9.676"
